Original Filename,Suggested New Filename
GoingDownThatRoadErselHickey.mp3,going down that roaders el hickey.mp3
GoldDustTeddyRedell.mp3,gold dust teddy re dell.mp3
GoneAgainPaladins.mp3,gone again paladins.mp3
GoneGoneGoneCP.mp3,gone gone gone cp.mp3
GonnaBeBetterTimesAlUrban.mp3,gonna be better times al urban.mp3
GonnaRockMyBabyTonightLauraLeePerkins.mp3,gonna rock my baby tonight lauralee perkins.mp3
Gonna_Walk_You_Home.Rocket_Morgan.mp3,gonna walk you home rocket morgan.mp3
GoodbyeGoodbyeJoeClay.mp3,goodbye goodbye joe clay.mp3
GoodGollyMissMollyLittleRichard.mp3,good golly miss molly little richard.mp3
GoodTimeRoycePorter.mp3,good time royce porter.mp3
GoodWorkBoDeans.mp3,good work bodeans.mp3
Good_RockingTonightRoyBrown.mp3,good rocking tonight roy brown.mp3
GotAWholeLotOfLovingToDoBarryMartin_.mp3,got a whole lot of loving to do barry martin.mp3
GoTellAuntRhodyLonnieDonegan.mp3,go tell aunt rhody lonnie donegan.mp3
GottaLottaThatGeneSummers.mp3,gotta lotta that gene summers.mp3
GotTheBullByTheHornsHughBarrett.mp3,got the bull by the horns hugh barrett.mp3
Go_Cat_GoBob_Cleary__His_Bopcats__.mp3,go cat go bob cleary his bop cats.mp3
GrandaddysRockinMacCurtis.mp3,grandaddy s rockin mac curtis.mp3
GrandmaRockAndRollGeneSisco.mp3,grandma rock and roll genesis co.mp3
Granny_Went_RockinRodney_Scott__.mp3,granny went rockin rodney scott.mp3
GREEN_EYED_CATJOHNNY_DOLLAR.mp3,green eyed cat johnny dollar.mp3
GuitarBoogieArthurSmith.mp3,guitar boogie arthur smith.mp3
GuitarBoogieShuffleTheVirtues.mp3,guitar boogie shuffle the virtues.mp3
GuitarRockBillFlagg.mp3,guitar rock bill flagg.mp3
HalfAChanceBarbaraBurnette.mp3,half a chance barbara burnette.mp3
Hall_Harris__I_Dont_Know_When.mp3,hall harris i dont know when.mp3
HangOutLloydArnold.mp3,hang out lloyd arnold.mp3
Hardrock_Gunter__Bloodshot_Eyes.mp3,hard rock gunter bloodshot eyes.mp3
Hardrock_Gunter__Dixieland_Boogie.mp3,hard rock gunter dixieland boogie.mp3
Hardrock_Gunter__Turn_The_Other_Cheek.mp3,hard rock gunter turn the other cheek.mp3
HarlemNocturneTheViscounts.mp3,harlem nocturne the viscount s.mp3
Hasil_Adkins__Chicken_Walk.mp3,has il adkins chicken walk.mp3
HauntedHouseJumpinGeneSimmons.mp3,haunted house jump in gene simmons.mp3
HaveYouSeenMabelRockyBillFord.mp3,have you seen mabel rocky bill ford.mp3
Hayden_Thompson__Rockabilly_Gal.mp3,hayden thompson rockabilly gal.mp3
HeartbreakHotelHankSmithGeorgeJones.mp3,heartbreak hotel hank smith george jones.mp3
HeartBreakingMamaSkeetsMcDonald.mp3,heartbreaking mama skeets mcdonald.mp3
HelloBabyCharlineArthur.mp3,hello baby charline arthur.mp3
HenriettaJimmyDeeandTheOffbeats.mp3,henrietta jimmy dee and the offbeats.mp3
HepCatLarryTerry.mp3,hepcat larry terry.mp3
HereIAmJerryReed.mp3,here iam jerry reed.mp3
HesAWildOldManLIittleManHEenry_.mp3,he saw i ldoldmanliittlemanheenry.mp3
HeyBabeLetsGoDowntownJoeTherrienJr.mp3,hey babe lets go downtown joe therrien jr.mp3
HeyLittleGirlDeeClark.mp3,hey little girl dee clark.mp3
HeyLittleMamaTheBarkerBrothers.mp3,hey little mama the barker brothers.mp3
HeyPorterKennyOwens.mp3,hey porter kenny owens.mp3
HeyRosalieMickeMuster.mp3,hey rosalie micke muster.mp3
HiccupsRoddyJackson.mp3,hiccups roddy jackson.mp3
HideAwayFreddyKing.mp3,hideaway freddy king.mp3
HighClassedBabyJerryArnold.mp3,high classed baby jerry arnold.mp3
HighSchoolUSATommyFacenda.mp3,high school usa tommy face nda.mp3
High_School_HopLee_Denson.mp3,high school hop lee denson.mp3
HippyHippyShakeCR.mp3,hippy hippy shake cr.mp3
HipShakinBabyRoyBrown.mp3,hip shakin baby roy brown.mp3
HoldItLelanRogers.mp3,hold it le lan rogers.mp3
HollywoodPartyDonnieBrooks.mp3,hollywood party donnie brooks.mp3
HoneyBunnLarryDonn.mp3,honey bunn larry donn.mp3
HoneycombJimmieRodgers_.mp3,honeycomb jimmie rodgers.mp3
HoneyHushJohnnyBurnette.mp3,honey hush johnny burnette.mp3
Honey_DontTyrone_Schmidling_.mp3,honey dont tyrone schmidlin g.mp3
HonkyTonkBillDoggettP1n2.mp3,honkytonk bill doggett p1n2.mp3
HonkyTonkHardwoodFloorJohnnyHorton.mp3,honkytonk hardwood floor johnny horton.mp3
HonkyTonkMindTommyBlakeOriginal.mp3,honkytonk mind tommy blake original.mp3
HotDogBuckOwens.mp3,hot dog buck owens.mp3
HotRodLincolnJohnnyBond.mp3,hot rod lincoln johnny bond.mp3
HotRodRaceCharlieRyan.mp3,hot rod race charlie ryan.mp3
HowAboutMePrettyBabyJimmyJohnson.mp3,how about me pretty baby jimmy johnson.mp3
HowComeItThumperJones.mp3,how come it thumper jones.mp3
Howie_Stange__This_Old_Bomb_Of_Mine.mp3,howie stange this old bomb of mine.mp3
HoyHoyTheCollinsKids.mp3,hoyhoy the collins kids.mp3
HuhHuhOhYeahTracyPendarvis.mp3,h uh huh oh yeah tracy pendarvis.mp3
HurryUp.mp3,hurry up.mp3
IAintGonnaTakeItSleepyLaBeef.mp3,i a int gonna take it sleepy la beef.mp3
ICantFindTheDoorknobRayC.mp3,i cant find the doorknob ray c.mp3
ICantStayMadAtYouSkeeterDavis.mp3,i cant stay mad at you skeeter davis.mp3
ICantStopNowTexabillyRockets.mp3,i cant stop now texa billy rockets.mp3
IfIHadMeAWomanMacCurtis-dot-com.mp3,if i had me a woman mac curtis dot com.mp3
IFoughtTheLawAndTheLawWonBobbyFullerFour.mp3,i fought the law and the law won bobby fuller four.mp3
IfYouCantRockMeAlterRickyNelson.mp3,if you cant rock me alter ricky nelson.mp3
IfYouDontKnow.mp3,if you dont know.mp3
IfYouWantMyLoveBobbyLawson.mp3,if you want my love bobby lawson.mp3
IggyJoeWillieWard.mp3,iggy joe willie ward.mp3
IGotABabyGV.mp3,i got a baby gv.mp3
IGotAFeeling_RickyNelson.mp3,i got a feeling ricky nelson.mp3
IGotaGalNamedSueAltRitchieV.mp3,i got a gal named sue alt ritchie v.mp3
IGotARocketInMyPocketJimmieLloyd.mp3,i got a rocket in my pocket jimmie lloyd.mp3
IGotSchoolScottMiller.mp3,i got school scott miller.mp3
IHearYouKnockingDaveEdmunds.mp3,i hear you knocking dave edmunds.mp3
IKnewHankLeGault.mp3,i knew hank legault.mp3
IllCryNoMoreJackEdenTheSundowners.mp3,ill cry no more jack eden the sundowners.mp3
ImAHoboDannyReeves.mp3,ima hobo danny reeves.mp3
ImAManMortShuman.mp3,imam an morts human.mp3
ImComingHomeJohnnyHorton.mp3,im coming home johnny horton.mp3
ImgettingbetterallthetimeBarbaraPittman.mp3,im getting better all the time barbara pittman.mp3
ImGonnaLeaveScottyWayneFreddyFender.mp3,im gonna leave scotty wayne freddy fender.mp3
ImGonnaTellOnYouGeorgeFleming.mp3,im gonna tell on you george fleming.mp3
ImHangingUpMyRifleBobbyBare.mp3,im hanging up my rifle bobby bare.mp3
ImHungryForYourLovinDannyDill.mp3,im hungry for your lovin danny dill.mp3
ImLeavingItUpToYouDonAndDewey.mp3,im leaving it up to you don and dewey.mp3
ImLookinforSomeonetoLoveBKx.mp3,im lookin for someone to love bkx.mp3
ImMovinOnDickHiorns.mp3,im movin on dick hi or ns.mp3
ImReadyFatsDomino.mp3,im ready fats domino.mp3
ImSoLonelyJayBLoyd.mp3,im so lonely jay b loyd.mp3
ImStickingWithYouJimmyBowenTheRhythmOrchids.mp3,im sticking with you jimmy bowen the rhythm orchids.mp3
ImTroughSleepyLaBeef.mp3,im trough sleepy la beef.mp3
InDeedIDoVincentMaloy.mp3,indeed i do vincent maloy.mp3
INeedAManBarbaraPittman.mp3,i need a man barbara pittman.mp3
INeedYouBabyGeorgeWeston.mp3,i need you baby george weston.mp3
InstrumentalCliffGallup.mp3,instrumental cliff gallup.mp3
ISureDoLoveYouBabyBobbyLeeTrammell.mp3,i sure do love you baby bobby lee trammell.mp3
ItchySonnyBurgess.mp3,itchy sonny burgess.mp3
ItsLoveBabyJackieDeShannon.mp3,its love baby jackie deshannon.mp3
ItsNothingtoMeLoyClingman.mp3,its nothing to meloy clingman.mp3
ItsNoWonderHuelynDuvall.mp3,its no wonder hue lyn duvall.mp3
IveGotLoveIfYouWantItWarrenSmith.mp3,ive got love if you want it warren smith.mp3
IveHadItBellNotes.mp3,ive had it bell notes.mp3
IVibrateMackSelf.mp3,i vibrate mack self.mp3
IWantaNewGirlNowBenHewitt.mp3,i want a new girl now ben hewitt.mp3
IWantToDoItBobbyComstock.mp3,i want to do it bobby comstock.mp3
IWantYouBabyBLR.mp3,i want you baby blr.mp3
Jackie_Lee_Cochran__I_Wanna_See_You.mp3,jackie lee cochran i wanna see you.mp3
Jackie_Lee_Cochran__Ruby_Pearl.mp3,jackie lee cochran ruby pearl.mp3
Jack_Earls__Lets_Bop.mp3,jack earls lets bop.mp3
Jack_Earls__Slow_Down.mp3,jack earls slow down.mp3
JailhouseRockArtieMalvin.mp3,jailhouse rock artie malvin.mp3
JeanieJeanieJeanie.mp3,jeanie jeanie jeanie.mp3
JEANI_MACK_super_duper.mp3,jean i mack superduper.mp3
JeannieMaeJodyReynolds.mp3,jeannie mae jody reynolds.mp3
JelloSalBennyIngram.mp3,jello sal benny ingram.mp3
JennieLeeJanNArnie.mp3,jennie lee jann arnie.mp3
JimDandySaraLee.mp3,jim dandy sara lee.mp3
Jimmy_Evans__The_Joints_Really_Jumpin.mp3,jimmy evans the joints really jump in.mp3
Jimmy_Lloyd_Youre_Gone_Baby.mp3,jimmy lloyd your e gone baby.mp3
JIMMY_WAGES_Mad_Man.mp3,jimmy wages madman.mp3
JitterbopBabyHalHarris.mp3,jitter bop baby hal harris.mp3
JohnnyBGoodeChuckBerry.mp3,johnny b goode chuck berry.mp3
JohnnyIsTheBoyForMeLesPaulNMaryFord.mp3,johnny is the boy for me les paul n mary ford.mp3
JohnnysGotABoomBoom.mp3,johnnys got a boom boom.mp3
